LegacyId,Datum,Operater,A1,B1,C1,A2,B2,C2,TitlePomembnoSLO,ContentPomembnoSLO,TitleNesreceSLO,ContentNesreceSLO,TitleZastojiSLO,ContentZastojiSLO,TitleVremeSLO,ContentVremeSLO,TitleOvireSLO,ContentOvireSLO,TitleDeloNaCestiSLO,ContentDeloNaCestiSLO,TitleOpozorilaSLO,ContentOpozorilaSLO,TitleMednarodneInformacijeSLO,ContentMednarodneInformacijeSLO,TitleSplosnoSLO,ContentSplosnoSLO
1288153,2022-02-09T05:27:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p>,Tovorni promet,
1288154,2022-02-09T05:53:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p>,Tovorni promet,
1288155,2022-02-09T05:54:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p>,Tovorni promet,
1288156,2022-02-09T05:55:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p>,Tovorni promet,
1288157,2022-02-09T05:59:00.000000,"DARS Janja Budi?, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p>,Tovorni promet,
1288158,2022-02-09T06:09:00.000000,"DARS Janja Budi?, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288159,2022-02-09T06:09:00.000000,"DARS Janja Budi?, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288160,2022-02-09T06:27:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288161,2022-02-09T06:29:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastajajo zastoji proti mestnim središ?em.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288162,2022-02-09T06:37:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Domžal proti Ljubljani.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Domžal proti Ljubljani.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288163,2022-02-09T06:38:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Domžal proti Ljubljani.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Domžal proti Ljubljani.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288164,2022-02-09T06:41:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Domžal proti Ljubljani.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Domžal proti Ljubljani.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288165,2022-02-09T06:53:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Domžal proti Ljubljani.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Domžal proti Ljubljani.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288166,2022-02-09T06:54:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288167,2022-02-09T06:54:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288168,2022-02-09T06:59:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288169,2022-02-09T07:02:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes do 12. ure, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes do 12. ure, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
1288170,2022-02-09T07:06:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Zastoji</strong></p><p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p><p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes do 12. ure, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,<p>Zaradi jutranje prometne konice nastaja zastoj na štajerski avtocesti od Krtine proti Ljubljani.</p>,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes do 12. ure, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,"<p>?akalna doba je na mejnih prehodih Starod, Obrežje, Gruškovje in Dobovec.</p>",Tovorni promet,
